HUAWEI 8GB 512GB I5 12450H W11 16INC, 5, 16999, MATEBOOK D16, https://www.vatanbilgisayar.com/huawei-matebook-d16-12-nesil-core-i5-12450h-8gb-512gb-ssd-16inc-w11.html

HUAWEI 8GB 512GB I5 1135G7 W11 15.6INC, 5, 13991, MATEBOOK D15 53012TTB, https://www.hepsiburada.com/huawei-matebook-d15-intel-core-i5-1135g7-8gb-512gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-p-HBCV000022AS0J
HUAWEI 8GB 512GB I5 1135G7 W11 15.6INC, 0, 13661, MATEBOOK D15 53012TTB, https://www.trendyol.com/huawei/matebook-d15-11-nesil-core-i5-1135g7-8gb-512gb-ssd-15-6inc-w11-p-347142184?boutiqueId=61&merchantId=143314
HUAWEI 8GB 512GB I5 1135G7 W11 15.6INC, 5, 13838, MATEBOOK D15 53012TTB, https://www.n11.com/urun/huawei-matebook-d15-i5-1135g7-8-gb-512-gb-156-w11h-fhd-dizustu-bilgisayar-4790661?magaza=ant-bilisim-a-s
HUAWEI 8GB 512GB I5 1135G7 W11 15.6INC, 4, 13799, MATEBOOK D15 53012TTB, https://www.vatanbilgisayar.com/huawei-matebook-d15-11-nesil-core-i5-1135g7-8gb-512gb-ssd-15-6inc-w11.html

ACER 8GB 512GB I5 1135G7 FREEDOS 15.6INC, 5, 10699, EXTENSA EX215-54G NX.EGHEY.003, https://www.hepsiburada.com/acer-extensa-ex215-54g-intel-core-i5-1135g7-8-gb-512-gb-ssd-mx350-2-gb-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-eghey-003-p-HBCV00002SM00H
ACER 8GB 512GB I5 1135G7 FREEDOS 15.6INC, 0, 11499, EXTENSA EX215-54G NX.EGHEY.003, https://www.n11.com/urun/acer-extensa-ex215-54g-nxeghey003-i5-1135g7-8-gb-512-gb-ssd-2-gb-mx350-156-dos-dizustu-bilgisayar-21752710?magaza=bozdanteknoloji
ACER 8GB 512GB I5 1135G7 FREEDOS 15.6INC, 5, 11699, EXTENSA EX215-54G NX.EGHEY.003, https://www.vatanbilgisayar.com/acer-extensa-15-11-nesil-core-i5-1135g7-8gb-512gb-ssd-15-6inch-mx350-2gb-freedos.html

ACER 8GB 512GB I5 1135G7 FREEDOS 15.6INC, 5, 9499, EXTENSA EX215-54 NX.EGJEY.005, https://www.hepsiburada.com/acer-extensa-ex215-54-intel-core-i5-1135g7-8-gb-512-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-egjey-005-p-HBCV00002SQNIQ
ACER 8GB 512GB I5 1135G7 FREEDOS 15.6INC, 0, 9498, EXTENSA EX215-54 NX.EGJEY.005, https://www.n11.com/urun/acer-extensa-15-ex215-54-nxegjey005-i5-1135g7-8-gb-512-gb-ssd-156-free-dos-fhd-dizustu-bilgisayar-21752652?magaza=bozdanteknoloji
ACER 8GB 512GB I5 1135G7 FREEDOS 15.6INC, 5, 9999, EXTENSA EX215-54 NX.EGJEY.005, https://www.trendyol.com/acer/extensa-ex215-54g-corei5-1135g7-8gb-512gb-ssd-freedos-15-6-fhd-notebook-nx-egjey-005-p-343207843?boutiqueId=61&merchantId=107007

ACER 16GB 512GB R7 5800H FREEDOS 17.3INC, 5, 20499, NITRO 5 AN517-41 NH.QAQEY.001, https://www.hepsiburada.com/acer-nitro-5-an517-41-amd-ryzen-7-5800h-16-gb-512-gb-ssd-rtx-3050ti-freedos-17-3-fhd-144-hz-tasinabilir-bilgisayar-nh-qaqey-001-p-HBCV00002QBQ8M
ACER 16GB 512GB R7 5800H FREEDOS 17.3INC, 5, 22499, NITRO 5 AN517-41 NH.QAQEY.001, https://www.trendyol.com/acer/nitro-5-an517-41-r7-5800h-16gb-512gb-ssd-rtx3050ti-dos-17-3-fhd-144hz-notebook-nh-qaqey-001-p-335996975?boutiqueId=613344&merchantId=106740
ACER 16GB 512GB R7 5800H FREEDOS 17.3INC, 0, 20499, NITRO 5 AN517-41 NH.QAQEY.001, https://www.n11.com/urun/acer-nitro-5-an517-41-nhqaqey001-r7-5800h-16-gb-512-gb-ssd-rtx3050ti-173-dos-dizustu-bilgisayar-18597206?magaza=teknoryabilisim

ACER 16GB 512GB R7 5800H FREEDOS 17.3INC, 0, 27699, NITRO 5 AN517-41 NH.QBGEY.002, https://www.hepsiburada.com/acer-nitro-5-an517-41-amd-ryzen-7-5800h-16-gb-512-gb-ssd-rtx-3070-freedos-17-3-fhd-144-hz-tasinabilir-bilgisayar-nh-qbgey-002-p-HBCV00002QBQ8Q
ACER 16GB 512GB R7 5800H FREEDOS 17.3INC, 5, 29999, NITRO 5 AN517-41 NH.QBGEY.002, https://www.trendyol.com/acer/nitro-5-an517-41-r7-5800h-16gb-512gb-ssd-rtx3070-dos-17-3-fhd-144hz-notebook-nh-qbgey-002-p-335997167?boutiqueId=61&merchantId=106740
ACER 16GB 512GB R7 5800H FREEDOS 17.3INC, 0, 27999, NITRO 5 AN517-41 NH.QBGEY.002, https://www.n11.com/urun/acer-nitro-5-an517-41-nhqbgey002-r7-5800h-16-gb-512-gb-ssd-rtx3070-173-dos-dizustu-bilgisayar-18597604?magaza=teknoryabilisim

ACER 8GB 512GB R5 5600H FREEDOS 15.6INC, 5, 16299, NITRO 5 AN515-45 NH.QBAEY.005, https://www.hepsiburada.com/acer-nitro-5-an515-45-amd-ryzen-5-5600h-8-gb-512-gb-ssd-rtx-3050-freedos-15-6-fhd-144-hz-tasinabilir-bilgisayar-nh-qbaey-005-p-HBCV000028L2HB
ACER 8GB 512GB R5 5600H FREEDOS 15.6INC, 5, 16799, NITRO 5 AN515-45 NH.QBAEY.005, https://www.trendyol.com/acer/nitro-5-an515-45-r5-5600h-8gb-512gb-ssd-rtx3050-dos-15-6-fhd-diuzstu-bilgisayar-nh-qbaey-005-p-302185457?boutiqueId=613344&merchantId=106740
ACER 8GB 512GB R5 5600H FREEDOS 15.6INC, 0, 16099, NITRO 5 AN515-45 NH.QBAEY.005, https://www.n11.com/urun/acer-nitro-5-an515-45-nhqbaey005-r5-5600h-8-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-5092260?magaza=teknoryabilisim

ACER 16GB 512GB R7 5800H FREEDOS 15.6INC, 5, 18799, NITRO 5 AN515-45 NH.QBAEY.007, https://www.hepsiburada.com/acer-nitro-5-an515-45-amd-ryzen-7-5800h-16-gb-512-gb-ssd-rtx-3050-freedos-15-6-fhd-144-hz-tasinabilir-bilgisayar-nh-qbaey-007-p-HBCV00002QBQ8K
ACER 16GB 512GB R7 5800H FREEDOS 15.6INC, 0, 20499, NITRO 5 AN515-45 NH.QBAEY.007, https://www.trendyol.com/acer/nitro-5-an515-45-r7-5800h-16gb-512gb-ssd-rtx3050-dos-15-6-fhd-144hz-notebook-nh-qbaey-007-p-335997103?boutiqueId=61&merchantId=106740
