ACER 16GB 512GB I7 1165G7 W10 14INC, 5, 17750, SWIFT 3 SF314-511 NX.ABNEY.002, https://www.hepsiburada.com/acer-swift-3-sf314-511-intel-core-i7-1165g7-16gb-512gb-ssd-windows-10-home-14-tasinabilir-bilgisayar-nx-abney-002-p-HBCV00001D1U3L, HEPSI
ACER 16GB 512GB I7 1165G7 W11 14INC, 5, 16999, SWIFT 3 SF314-511 EVO, https://www.trendyol.com/acer/swift-3-sf314-511-evo-intel-core-i7-1165g7-16gb-512gb-ssd-14-w11-fhd-laptop-acer-turkiye-garanti-p-311102433?boutiqueId=614790&merchantId=968, TRENDYOL
ACER 16GB 512GB I7 11800H FREEDOS 15.6INC, 0, 29959, NITRO 5 AN515-57 NH.QFGEY.002, https://www.trendyol.com/acer/nitro-5-an515-57-corei7-11800h-16gb-512gb-ssd-rtx-3070-8gb-fdos-15-6-notebook-nh-qfgey-002-p-343021074?boutiqueId=614349&merchantId=107007, TRENDYOL
ACER 16GB 512GB I7 11800H FREEDOS 15.6INC, 0, 31499, NITRO 5, https://www.trendyol.com/acer/nitro-5-11-nesil-core-i7-11800h-16gb-512gb-ssd-15-6inc-rtx3070-8gb-freedos-p-355654354?boutiqueId=61&merchantId=109457, TRENDYOL
ACER 16GB 512GB I7 11800H FREEDOS 15.6INC, 0.0, 31499, NITRO 5, https://www.vatanbilgisayar.com/acer-nitro-5-11-nesil-core-i7-11800h-16gb-512gb-ssd-15-6inc-rtx3070-8gb-freedos.html, VATAN
ACER 16GB 512GB I7 11800H FREEDOS 15.6INC, 5, 29959, NITRO 5 AN515-57 NH.QFGEY.002, https://www.hepsiburada.com/acer-nitro-5-an515-57-intel-core-i7-11800h-16-gb-512-gb-ssd-rtx-3070-8-gb-freedos-15-6-fhd-tasinabilir-bilgisayar-nh-qfgey-002-p-HBCV00002SMT5Z, HEPSI
ACER 16GB 512GB I7 11800H LINUX 17.3INC, 0.0, 29268, NITRO 5 AN517 NH.QFCEY.002, https://www.n11.com/urun/acer-nitro-5-an517-nhqfcey002-i7-11800h-16-gb-512-gb-rtx3070-173-linux-dizustu-bilgisayar-19014354?magaza=garajonline, N11
ACER 16GB 512GB I7 11800H LINUX 17.3INC, 5, 28499, NITRO5, https://www.trendyol.com/acer/nitro5-i7-11800h-16gb-512gb-rtx3070-17-3-linux-p-339347494?boutiqueId=614724&merchantId=124551, TRENDYOL
ACER 16GB 512GB I7 11800H W10 15.6INC, 0, 29999, PREDATOR, https://www.trendyol.com/acer/predator-11-nesil-core-i7-11800h-16gb-512gb-ssd-15-6inc-rtx-3060-6gb-w10-p-364177466?boutiqueId=61&merchantId=624588, TRENDYOL
ACER 16GB 512GB I7 11800H W10 15.6INC, 0.0, 28499, PREDATOR, https://www.vatanbilgisayar.com/acer-predator-11-nesil-core-i7-11800h-16gb-512gb-ssd-15-6inc-rtx-3060-6gb-w10.html, VATAN
